,title,authors,average_rating,title_lower,categories,description,thumbnail,published_year,combined_features
0,A Short History of Nearly Everything,Bill Bryson,4.21,a short history of nearly everything,Science,"The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing.",http://books.google.com/books/content?id=YjAnfhsAQ8wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,"a short history of nearly everything,Bill Bryson,Science,The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing."
1,Bill Bryson's African Diary,Bill Bryson,3.44,bill bryson's african diary,Biography & Autobiography,"A travel writer with little background knowledge of Africa recounts his journey to Kenya at the invitation of CARE International, where he visited slums, historic sites, natural wonders, refugee camps, and relief projects.",http://books.google.com/books/content?id=3QiTmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"bill bryson's african diary,Bill Bryson,Biography & Autobiography,A travel writer with little background knowledge of Africa recounts his journey to Kenya at the invitation of CARE International, where he visited slums, historic sites, natural wonders, refugee camps, and relief projects."
2,In a Sunburned Country,Bill Bryson,4.07,in a sunburned country,True Crime,The author takes readers on a tour of the land Down Under that goes far beyond packaged-tour routes.,http://books.google.com/books/content?id=7ZELqUsksIwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,"in a sunburned country,Bill Bryson,True Crime,The author takes readers on a tour of the land Down Under that goes far beyond packaged-tour routes."
3,Notes from a Small Island,Bill Bryson,3.91,notes from a small island,Travel,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and Made in America-decided to returnto the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another,so it was clear that my people needed me."") But before departing, he set out ona grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestselling author of ,i>The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.",http://books.google.com/books/content?id=rTXB680gLl8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997.0,"notes from a small island,Bill Bryson,Travel,""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and Made in America-decided to returnto the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another,so it was clear that my people needed me."") But before departing, he set out ona grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestselling author of ,i>The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile."
4,The Changeling,Zilpha Keatley Snyder,4.17,the changeling,Fiction,FICTION-ROMANCE/GOTHIC,http://books.google.com/books/content?id=5jE316OI8qgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1990.0,"the changeling,Zilpha Keatley Snyder,Fiction,FICTION-ROMANCE/GOTHIC"
5,The Known World,Edward P. Jones,3.83,the known world,African American plantation owners,An epic narrative that takes a look at slavery in all of its moral complexities.,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,"the known world,Edward P. Jones,African American plantation owners,An epic narrative that takes a look at slavery in all of its moral complexities."
6,Uncommon Carriers,John McPhee,3.95,uncommon carriers,Literary Collections,"McPhee's books are about real people in real places. Over the past eight years, McPhee has spent considerable time in the company of people who work in freight transportation. This is his sketchbook of them and of his journeys with them. He rides from Atl",http://books.google.com/books/content?id=uOSPZhoDIuMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"uncommon carriers,John McPhee,Literary Collections,McPhee's books are about real people in real places. Over the past eight years, McPhee has spent considerable time in the company of people who work in freight transportation. This is his sketchbook of them and of his journeys with them. He rides from Atl"
7,Heirs of General Practice,John McPhee,4.17,heirs of general practice,Biography & Autobiography,"Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients",http://books.google.com/books/content?id=kNp33i-AIq0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1986.0,"heirs of general practice,John McPhee,Biography & Autobiography,Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients"
8,The Control of Nature,John McPhee,4.24,the control of nature,Nature,"The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters.",http://books.google.com/books/content?id=p1qKQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1990.0,"the control of nature,John McPhee,Nature,The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters."
9,Coming Into the Country,John McPhee,4.22,coming into the country,Nature,"An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska",http://books.google.com/books/content?id=ds3uJRhlOB0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1991.0,"coming into the country,John McPhee,Nature,An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska"
